abduci|fastus , c ne sinet|te tuus ardor aget te
abhac|ne amare aliam que ne|desistere fas est Cynthia prima
abiectus|sit ista tibi Tu licet|Tiberina molliter unda Lesbia Mentoreo
abire|discere et exclusum quid sit|domum c ne iam pallorem
abire|incipis , et primo lapsus|gradu haec erit illarum contempti
abire|, puellas mutatum domina cogis|mea quid me non pateris
ab|properas evadere casum , miles|Etruscis saucius aggeribus , quid
abrepto|casu , Galle , quod|solus amore vacem at non
ab|responsa , sed illi nomen|extremis montibus aura refert his
absenti|litore vota cadunt quin etiam|prosunt tibi , Cynthia ,
,|absenti prosunt tibi , Cynthia|venti aspice , quam saevas
abstrahat|contempto , Cynthia , busto|a nostro pulvere iniquus Amor
accedere|mali tum magis Armenias cupies|tigris et magis infernae vincula
accensae|plena trahens umero cuius ut|Dryades candore puellae miratae solitos
accepta|solvere amores , hoc magis|fallit uterque fide non impune
accepti|carpere remis ibis , et|pars eris imperii tum tibi
accipe|es veritus concredere nobis ,|commissae munera laetitiae non solum
accipiat|felici praevecta Ceraunia remo ,|placidis Oricos aequoribus Hic erit
accubuit|desertis Cnosia litoribus qualis et|primo Cepheia somno libera iam
a|cogor deflere querelis , supplicis|longis tristior excubiis ille meos
,|acrius illa subit , Pontice|si qua tua est ,
acrius|quod sit satis illa parata|illa subit , Pontice ,
acta|gaudere parentes , et soror|tuis sentiat e lacrimis Gallum
a|, Cynthia , busto abstrahat|nostro pulvere iniquus Amor ,
ad|a , mea contemptus quotiens|limina curres , cum tibi
ad|ecce iaces que supplex venis|iura puellae , et tibi
adeo|est ipsis durior exsequiis non|leviter nostris puer haesit ocellis
aderat|externis Hippodamia rotis sed facies|nullis obnoxia gemmis , qualis
aderit|textilibus quae mihi dum placata|, non ulla verebor regna
adire|omnis , molliter impresso conor|toro et quamvis duplici correptum
adire|, que ne expertos semper|lacus quae miser ignotis error
admissae|Solem , c ne tremis|conscia nequitiae Quae fueram magnis
admittis|foribus cur numquam reserata meos|amores , nescia furtivas reddere
admota|positam temptare lacerto que oscula|sumere et arma manu ,
,|admota sumere et arma manu|non tamen ausus eram dominae
adoro|nostro maneat sic semper ,|, c ne quicquam ex
ad|possunt narrare querelae , cogor|argutas dicere solus avis sed
Adryasin|non minor Ausoniis est amor|) ne tibi sit duros
adverso|perire volent nam quis divitiis|gaudet Amore nulla mihi tristi
adversos|deficit anno , cum tamen|cogor habere deos Milanion nullos
adverterit|quod si quis monitis tardas|auris , heu referet quanto
Aegaeo|, Tulle , que ne|ducere vela salo , cum
aequora|mirantem subdita regno proxima Misenis|nobilibus , nostri cura subit
