Gallia||est omnis divisa in partes
est|Gallia|omnis divisa in partes tres
omnis|Gallia est|divisa in partes tres ,
divisa|Gallia est omnis|in partes tres , quarum
in|Gallia est omnis divisa|partes tres , quarum unam
partes|Gallia est omnis divisa in|tres , quarum unam incolunt
tres|est omnis divisa in partes|, quarum unam incolunt Belgae
,|omnis divisa in partes tres|quarum unam incolunt Belgae ,
quarum|divisa in partes tres ,|unam incolunt Belgae , aliam
unam|in partes tres , quarum|incolunt Belgae , aliam Aquitani
incolunt|partes tres , quarum unam|Belgae , aliam Aquitani ,
Belgae|tres , quarum unam incolunt|, aliam Aquitani , tertiam
,|, quarum unam incolunt Belgae|aliam Aquitani , tertiam qui
aliam|quarum unam incolunt Belgae ,|Aquitani , tertiam qui ipsorum
Aquitani|unam incolunt Belgae , aliam|, tertiam qui ipsorum lingua
,|incolunt Belgae , aliam Aquitani|tertiam qui ipsorum lingua Celtae
tertiam|Belgae , aliam Aquitani ,|qui ipsorum lingua Celtae ,
qui|, aliam Aquitani , tertiam|ipsorum lingua Celtae , nostra
ipsorum|aliam Aquitani , tertiam qui|lingua Celtae , nostra Galli
lingua|Aquitani , tertiam qui ipsorum|Celtae , nostra Galli appellantur
Celtae|, tertiam qui ipsorum lingua|, nostra Galli appellantur .
,|tertiam qui ipsorum lingua Celtae|nostra Galli appellantur . (appellantur)
nostra|qui ipsorum lingua Celtae ,|Galli appellantur . (appellantur) (incolunt)
Galli|ipsorum lingua Celtae , nostra|appellantur . (appellantur) (incolunt) (incolunt)
appellantur|lingua Celtae , nostra Galli|. (appellantur) (incolunt) (incolunt) hi
.|Celtae , nostra Galli appellantur|(appellantur) (incolunt) (incolunt) hi omnes
(appellantur)|, nostra Galli appellantur .|(incolunt) (incolunt) hi omnes lingua
(incolunt)|nostra Galli appellantur . (appellantur)|(incolunt) hi omnes lingua ,
(incolunt)|Galli appellantur . (appellantur) (incolunt)|hi omnes lingua , institutis
